2017 다모아 빅데이터 기관정보 (부산),,,,,,,,,
번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
78,부산광역시 ,공공,주민자치기관,온천제3동 주민센터,부산광역시 동래구 아시아드대로231번길 21,051-550-6421,https://jumin.busan.go.kr/dong/oncheon3/main/main.jsp,,
79,부산광역시 ,공공,주민자치기관,사직제1동 주민센터,부산광역시 동래구 석사로 19,051-550-6441,https://jumin.busan.go.kr/dong/sajik1/main/main.jsp,,
80,부산광역시 ,공공,주민자치기관,사직제2동 주민센터,부산광역시 동래구 사직북로63번길 22,051-550-6461,https://jumin.busan.go.kr/dong/sajik2/main/main.jsp,,
81,부산광역시 ,공공,주민자치기관,사직제3동 주민센터,부산광역시 동래구 아시아드대로154번길 79,051-550-6481,https://jumin.busan.go.kr/dong/sajik3/main/main.jsp,,
82,부산광역시 ,공공,주민자치기관,안락제1동 주민센터,부산광역시 동래구 안연로110번길 9,051-550-6501,https://jumin.busan.go.kr/dong/anlak1/main/main.jsp,,
83,부산광역시 ,공공,주민자치기관,안락제2동 주민센터,부산광역시 동래구 명안로18번길 103,051-550-6521,https://jumin.busan.go.kr/dong/anlak2/main/main.jsp,,
84,부산광역시 ,공공,주민자치기관,명장제1동 주민센터,부산광역시 동래구 명장로 32,051-550-6541,https://jumin.busan.go.kr/dong/myeongjang1/main/main.jsp,,
85,부산광역시 ,공공,주민자치기관,명장제2동 주민센터,부산광역시 동래구 명서로 168,051-550-6562,https://www.dongnae.go.kr/index.dongnae?menuCd=DOM_000001108000000000,,
86,부산광역시 ,공공,국가 및 지자체,남구청,부산광역시 남구 못골로 19,051-607-4000,http://www.bsnamgu.go.kr/,,
87,부산광역시 ,공공,주민자치기관,대연제1동 주민센터,부산광역시 남구 유엔평화로 24,051-607-4801,https://jumin.busan.go.kr/dong/daeyeon1/main/main.jsp,,
88,부산광역시 ,공공,주민자치기관,대연제3동 주민센터,부산광역시 남구 수영로 345,051-607-4803,https://jumin.busan.go.kr/dong/daeyeon3/main/main.jsp,,
89,부산광역시 ,공공,주민자치기관,대연제4동 주민센터,부산광역시 남구 석포로91번길 96,051-607-4804,https://jumin.busan.go.kr/dong/daeyeon4/main/main.jsp,,
90,부산광역시 ,공공,주민자치기관,대연제5동 주민센터,부산광역시 남구 진남로46번길 7,051-607-4805,https://jumin.busan.go.kr/dong/daeyeon5/main/main.jsp,,
91,부산광역시 ,공공,주민자치기관,대연제6동 주민센터,부산광역시 남구 수영로 155,051-607-4806,https://jumin.busan.go.kr/dong/daeyeon6/main/main.jsp,,
92,부산광역시 ,공공,주민자치기관,용호제1동 주민센터,부산광역시 남구 용호로42번길 140,051-607-4807,https://jumin.busan.go.kr/dong/yongho1/main/main.jsp,,
93,부산광역시 ,공공,주민자치기관,용호제2동 주민센터,부산광역시 남구 용호로197번길 41,051-607-4808,https://jumin.busan.go.kr/dong/yongho2/main/main.jsp,,
94,부산광역시 ,공공,주민자치기관,용호제3동 주민센터,부산광역시 남구 동명로145번길 33,051-607-4809,https://jumin.busan.go.kr/dong/yongho3/main/main.jsp,,
95,부산광역시 ,공공,주민자치기관,용호제4동 주민센터,부산광역시 남구 용호로216번길 10,051-607-4810,https://jumin.busan.go.kr/dong/yongho4/main/main.jsp,,
96,부산광역시 ,공공,주민자치기관,용당동 주민센터,부산광역시 남구 신선로 349-4,051-607-4811,https://jumin.busan.go.kr/dong/yongdang/main/main.jsp,,
97,부산광역시 ,공공,주민자치기관,감만제1동 주민센터,부산광역시 남구 우암로 71-7,051-607-4812,https://jumin.busan.go.kr/dong/gamman1/main/main.jsp,,
98,부산광역시 ,공공,주민자치기관,감만제2동 주민센터,부산광역시 남구 석포로 32-1,051-607-4813,https://jumin.busan.go.kr/dong/gamman2/main/main.jsp,,
99,부산광역시 ,공공,주민자치기관,우암동 주민센터,부산광역시 남구 우암로 190-15,051-607-4814,https://jumin.busan.go.kr/dong/uam1/main/main.jsp,,
100,부산광역시 ,공공,주민자치기관,문현제1동 주민센터,부산광역시 남구 고동골로60번길 1,051-607-4816,https://jumin.busan.go.kr/dong/munhyeon1/main/main.jsp,,
101,부산광역시 ,공공,주민자치기관,문현제2동 주민센터,부산광역시 남구 전포대로92번길 31-7,051-607-4817,https://jumin.busan.go.kr/dong/munhyeon2/main/main.jsp,,
102,부산광역시 ,공공,주민자치기관,문현제3동 주민센터,부산광역시 남구 고동골로4번길 7-18,051-607-4818,https://jumin.busan.go.kr/dong/munhyeon3/main/main.jsp,,
103,부산광역시 ,공공,주민자치기관,문현제4동 주민센터,부산광역시 남구 수영로 12,051-607-4819,https://jumin.busan.go.kr/dong/munhyeon4/main/main.jsp,,
104,부산광역시 ,공공,국가 및 지자체,북구청,부산광역시 북구 낙동대로1570번길 33,051-309-4000,http://www.bsbukgu.go.kr/,,
105,부산광역시 ,공공,주민자치기관,구포제1동 주민센터,부산광역시 북구 낙동대로1762번길 75,051-309-6201,https://jumin.busan.go.kr/dong/gupo1/main/main.jsp,,
106,부산광역시 ,공공,주민자치기관,구포제2동 주민센터,부산광역시 북구 낙동북로663번길 23,051-309-6221,https://jumin.busan.go.kr/dong/gupo2/main/main.jsp,,
107,부산광역시 ,공공,주민자치기관,구포제3동 주민센터,부산광역시 북구 시랑로118번길 23,051-309-6241,https://jumin.busan.go.kr/dong/gupo3/main/main.jsp,,
108,부산광역시 ,공공,주민자치기관,금곡동 주민센터,부산광역시 북구 금곡대로 466,051-309-6261,https://jumin.busan.go.kr/dong/geumgok/main/main.jsp,,
109,부산광역시 ,공공,주민자치기관,화명제1동 주민센터,부산광역시 북구 금곡대로 274,051-309-6301,https://jumin.busan.go.kr/dong/hwamyeong1/main/main.jsp,,
110,부산광역시 ,공공,주민자치기관,화명제2동 주민센터,부산광역시 북구 양달로 58,051-309-6321,https://jumin.busan.go.kr/dong/hwamyeong2/main/main.jsp,,
111,부산광역시 ,공공,주민자치기관,화명제3동 주민센터,부산광역시 북구 화명신도시로 85,051-309-6348,https://jumin.busan.go.kr/dong/hwamyeong3/main/main.jsp,,
112,부산광역시 ,공공,주민자치기관,덕천제1동 주민센터,부산광역시 북구 만덕대로102번가길 11,051-309-6361,https://jumin.busan.go.kr/dong/deokcheon1/main/main.jsp,,
113,부산광역시 ,공공,주민자치기관,덕천제2동 주민센터,부산광역시 북구 금곡대로20번길 60,051-309-6381,https://jumin.busan.go.kr/dong/deokcheon2/main/main.jsp,,
114,부산광역시 ,공공,주민자치기관,덕천제3동 주민센터,부산광역시 북구 덕천로 118,051-309-6401,https://jumin.busan.go.kr/dong/deokcheon3/main/main.jsp,,
115,부산광역시 ,공공,주민자치기관,만덕제1동 주민센터,부산광역시 북구 만덕1로 1,051-309-6421,https://jumin.busan.go.kr/dong/mandeok1/main/main.jsp,,
116,부산광역시 ,공공,주민자치기관,만덕제2동 주민센터,부산광역시 북구 만덕2로44번길 10,051-309-6441,https://jumin.busan.go.kr/dong/mandeok2/main/main.jsp,,
117,부산광역시 ,공공,주민자치기관,만덕제3동 주민센터,부산광역시 북구 만덕3로 52,051-309-6461,https://jumin.busan.go.kr/dong/mandeok3/main/main.jsp,,
118,부산광역시 ,공공,국가 및 지자체,강서구청,부산광역시 강서구 낙동북로 477,051-970-4000,http://www.bsgangseo.go.kr/,,
119,부산광역시 ,공공,주민자치기관,대저1동 주민센터,부산광역시 강서구 대저로221번길 19,051-970-4901,https://jumin.busan.go.kr/dong/daejeo1/main/main.jsp,,
120,부산광역시 ,공공,주민자치기관,대저2동 주민센터,부산광역시 강서구 공항로811번가길 30-1,051-970-4902,https://jumin.busan.go.kr/dong/daejeo2/main/main.jsp,,
121,부산광역시 ,공공,주민자치기관,강동동 주민센터,부산광역시 강서구 제도로 1171,051-970-4903,https://jumin.busan.go.kr/dong/gangdong/main/main.jsp,,
122,부산광역시 ,공공,주민자치기관,명지동 주민센터,부산광역시 강서구 영강길19번길 58,051-970-4904,https://jumin.busan.go.kr/dong/myeongji/main/main.jsp,,
123,부산광역시 ,공공,주민자치기관,가락동 주민센터,부산광역시 강서구 가락대로 1476,051-970-4905,https://jumin.busan.go.kr/dong/garak/main/main.jsp,,
124,부산광역시 ,공공,주민자치기관,녹산동 주민센터,부산광역시 강서구 가락대로900번가길 32,051-970-4906,https://jumin.busan.go.kr/dong/noksan/main/main.jsp,,
125,부산광역시 ,공공,주민자치기관,가덕도동 주민센터,부산광역시 강서구 동선3길 1,051-970-4907,https://jumin.busan.go.kr/dong/cheonga/main/main.jsp,,
126,부산광역시 ,공공,국가 및 지자체,해운대구청,부산광역시 해운대구 중동2로 11,051-749-4000,http://www.haeundae.go.kr/,,
127,부산광역시 ,공공,주민자치기관,우제1동 주민센터,부산광역시 해운대구 해운대로 612,051-749-5811,https://jumin.busan.go.kr/dong/u-1/main/main.jsp,,
128,부산광역시 ,공공,주민자치기관,우제2동 주민센터,부산광역시 해운대구 해운대로383번가길 7,051-749-5821,https://jumin.busan.go.kr/dong/u-2/main/main.jsp,,
129,부산광역시 ,공공,주민자치기관,우제3동 주민센터,부산광역시 해운대구 해운대해변로 104,051-749-6661,https://jumin.busan.go.kr/dong/u-3/main/main.jsp,,
130,부산광역시 ,공공,주민자치기관,중제1동 주민센터,부산광역시 해운대구 중동1로37번길 20,051-749-5831,https://jumin.busan.go.kr/dong/jung1/main/main.jsp,,
131,부산광역시 ,공공,주민자치기관,중제2동 주민센터,부산광역시 해운대구 좌동순환로433번길 34,051-749-5841,https://jumin.busan.go.kr/dong/jung2/main/main.jsp,,
132,부산광역시 ,공공,주민자치기관,좌제1동 주민센터,부산광역시 해운대구 양운로 91,051-749-5851,https://jumin.busan.go.kr/dong/jwa1/main/main.jsp,,
133,부산광역시 ,공공,주민자치기관,좌제2동 주민센터,부산광역시 해운대구 좌동 1327-1,051-749-5861,https://jumin.busan.go.kr/dong/jwa2/main/main.jsp,,
134,부산광역시 ,공공,주민자치기관,좌제3동 주민센터,부산광역시 해운대구 좌동순환로 65,051-749-5871,https://jumin.busan.go.kr/dong/jwa3/main/main.jsp,,
135,부산광역시 ,공공,주민자치기관,좌제4동 주민센터,부산광역시 해운대구 좌동순환로 183,051-749-5881,https://jumin.busan.go.kr/dong/jwa4/main/main.jsp,,
136,부산광역시 ,공공,주민자치기관,송정동 주민센터,부산광역시 해운대구 송정중앙로21번길 20,051-749-5891,https://jumin.busan.go.kr/dong/songjeong/main/main.jsp,,
137,부산광역시 ,공공,주민자치기관,반여제1동 주민센터,부산광역시 해운대구 선수촌로 85,051-749-5901,https://jumin.busan.go.kr/dong/banyeo1/main/main.jsp,,
138,부산광역시 ,공공,주민자치기관,반여제2동 주민센터,부산광역시 해운대구 재반로211번길 9,051-749-5911,https://jumin.busan.go.kr/dong/banyeo2/main/main.jsp,,
139,부산광역시 ,공공,주민자치기관,반여제3동 주민센터,부산광역시 해운대구 재반로256번길 29-70,051-749-5921,https://jumin.busan.go.kr/dong/banyeo3/main/main.jsp,,
140,부산광역시 ,공공,주민자치기관,반여제4동 주민센터,부산광역시 해운대구 삼어로133번길 50,051-749-5931,https://jumin.busan.go.kr/dong/banyeo4/main/main.jsp,,
141,부산광역시 ,공공,주민자치기관,반송제1동 주민센터,부산광역시 해운대구 아랫반송로 16,051-749-5941,https://jumin.busan.go.kr/dong/bansong1/main/main.jsp,,
142,부산광역시 ,공공,주민자치기관,반송제2동 주민센터,부산광역시 해운대구 신반송로 173,051-749-5951,https://jumin.busan.go.kr/dong/bansong2/main/main.jsp,,
143,부산광역시 ,공공,주민자치기관,재송제1동 주민센터,부산광역시 해운대구 재반로63번길 23,051-749-5971,https://jumin.busan.go.kr/dong/jaesong1/main/main.jsp,,
144,부산광역시 ,공공,주민자치기관,재송제2동 주민센터,부산광역시 해운대구 재반로125번길 26,051-749-5981,https://jumin.busan.go.kr/dong/jaesong2/main/main.jsp,,
145,부산광역시 ,공공,국가 및 지자체,사하구청,부산광역시 사하구 낙동대로398번길 12,051-220-4000,http://www.saha.go.kr,,
146,부산광역시 ,공공,주민자치기관,괴정제1동 주민센터,부산광역시 사하구 낙동대로250번안길 3,051-220-5002,https://jumin.busan.go.kr/dong/goejeong1/main/main.jsp,,
147,부산광역시 ,공공,주민자치기관,괴정제2동 주민센터,부산광역시 사하구 까치고개로 14-1,051-220-5036,https://jumin.busan.go.kr/dong/goejeong2/main/main.jsp,,
148,부산광역시 ,공공,주민자치기관,괴정제3동 주민센터,부산광역시 사하구 낙동대로171번길 30-5,051-220-5061,https://jumin.busan.go.kr/dong/goejeong3/main/main.jsp,,
149,부산광역시 ,공공,주민자치기관,괴정제4동 주민센터,부산광역시 사하구 낙동대로309번길 9,051-220-5091,https://jumin.busan.go.kr/dong/goejeong4/main/main.jsp,,
150,부산광역시 ,공공,주민자치기관,당리동 주민센터,부산광역시 사하구 낙동대로 380,051-220-5121,https://jumin.busan.go.kr/dong/dangni/main/main.jsp,,
151,부산광역시 ,공공,주민자치기관,하단제1동 주민센터,부산광역시 사하구 하신중앙로 308,051-220-5151,https://jumin.busan.go.kr/dong/hadan1/main/main.jsp,,
152,부산광역시 ,공공,주민자치기관,하단제2동 주민센터,부산광역시 사하구 하신번영로 377,051-220-5181,https://jumin.busan.go.kr/dong/hadan2/main/main.jsp,,
153,부산광역시 ,공공,주민자치기관,신평제1동 주민센터,부산광역시 사하구 신산로 173,051-220-5211,https://jumin.busan.go.kr/dong/sinpyeong1/main/main.jsp,,
154,부산광역시 ,공공,주민자치기관,신평제2동 주민센터,부산광역시 사하구 하신번영로 137,051-220-4909,https://jumin.busan.go.kr/dong/sinpyeong2/main/main.jsp,,
155,부산광역시 ,공공,주민자치기관,장림제1동 주민센터,부산광역시 사하구 장림로161번길 2,051-220-5271,https://jumin.busan.go.kr/dong/jangrim1/main/main.jsp,,
